Fecha;Portafolio;ASSETCLASS;Numtit;Titulo; Nominal ; VPNOrigen ; VPNLocal 
28/02/2019;ADMINISTRA;LIQUIDEZ;37931;FONDORDI; 91.996 ; 3.394.212.236 ; 3.394.212.236 
28/02/2019;ADMINISTRA;D PUB FIJA;38170;EPMM10100924; 15.000.000.000 ; 15.198.000.000 ; 15.198.000.000 
28/02/2019;ADMINISTRA;D PUB FIJA;38312;EPM_08112027; 10.000.000.000 ; 10.048.400.000 ; 10.048.400.000 
28/02/2019;ADMINISTRA;D PUB FIJA;38313;EPM_08112027; 10.000.000.000 ; 10.048.400.000 ; 10.048.400.000 
28/02/2019;ADMINISTRA;D PUB FIJA;38315;EPMM10100924; 5.000.000.000 ; 5.066.000.000 ; 5.066.000.000 
28/02/2019;ADMINISTRA;BONOS FIJOS;38683;BDAV241022; 9.000.000.000 ; 9.495.810.000 ; 9.495.810.000 
28/02/2019;ADMINISTRA;BONOS TASA INTERÉS;38718;CDTIBR360; 5.000.000.000 ; 5.034.550.000 ; 5.034.550.000 
28/02/2019;ADMINISTRA;BONOS FIJOS;38776;BDAV241022; 1.000.000.000 ; 1.055.090.000 ; 1.055.090.000 
28/02/2019;ADMINISTRA;LIQUIDEZ;39018;FONDORDI; 151.330 ; 1.543.633.358 ; 1.543.633.358 
28/02/2019;ADMINISTRA;BONOS TASA INTERÉS;39151;CDTIBR360; 15.000.000.000 ; 14.992.500.000 ; 14.992.500.000 
28/02/2019;ADMINISTRA;BONOS INFLACIÓN;39192;CDTIPC; 2.500.000.000 ; 2.536.700.000 ; 2.536.700.000 
28/02/2019;ADMINISTRA;BONOS INFLACIÓN;39193;CDTIPC365; 7.000.000.000 ; 7.027.720.000 ; 7.027.720.000 
28/02/2019;ADMINISTRA;BONOS INFLACIÓN;39257;CDTIPC; 3.000.000.000 ; 3.034.440.000 ; 3.034.440.000 
28/02/2019;ADMINISTRA;BONOS INFLACIÓN;39287;BBOC07149B07; 3.500.000.000 ; 3.601.500.000 ; 3.601.500.000 
28/02/2019;ADMINISTRA;BONOS INFLACIÓN;39321;CDTIPC365; 7.500.000.000 ; 7.744.125.000 ; 7.744.125.000 
28/02/2019;ADMINISTRA;BONOS INFLACIÓN;39338;CDTIPC365; 2.000.000.000 ; 2.078.040.000 ; 2.078.040.000 
28/02/2019;ADMINISTRA;BONOS INFLACIÓN;39341;BCOS8189B005; 5.000.000.000 ; 5.028.000.000 ; 5.028.000.000 
